:GLOSSARY.:E05LS                        0000 b1a2 0000923 00036184
:SYSLIB.:E05LS                          0001 504d 0000227 00015562
A$JIT_C.:E05LS                          0002 ba4a 0000018 00000717
AFA$ACCT.:E05LS                         0003 1d47 0004346 00226599
AFD$DEBUG.:E05LS                        0004 ff04 0001078 00047506
ALA$BANNER.:E05LS                       0005 1492 0001309 00065307
ALA$LOGON.:E05LS                        0006 769f 0009613 00515209
AL_LOGON_D.:E05LS                       0007 b9e6 0000164 00010455
AL_LOGON_R.:E05LS                       0008 bb1a 0000035 00001983
AL_MACROS_C.:E05LS                      0009 b9d5 0000029 00001489
AL_PERR_C.:E05LS                        0010 8d7f 0000025 00001396
AL_SUBS_C.:E05LS                        0011 f133 0000012 00000638
ANLZ_STAR.:E05LS                        0012 0c57 0000022 00001607
ARA$RATES.:E05LS                        0013 a91d 0009240 00511749
ARB$MLSUBR.:E05LS                       0014 9344 0000076 00004903
ARC$INIT.:E05LS                         0015 eb53 0000130 00007320
ARD$TREE.:E05LS                         0016 dcba 0000293 00015776
AR_SUBS_C.:E05LS                        0017 a75a 0000095 00004638
AR_TBLS_C.:E05LS                        0018 dfc0 0000418 00022115
ASA$CONSOLE.:E05LS                      0019 e1ea 0006456 00351206
ASA$DEVICE.:E05LS                       0020 3fa4 0011486 00624011
ASA$LINE_CONTROLLER.:E05LS              0021 6077 0004247 00223865
ASA$LINK_VIRCIR.:E05LS                  0022 452d 0005767 00301021
ASA$PROJ.:E05LS                         0023 60a3 0006700 00373496
ASA$STATION.:E05LS                      0024 404e 0001519 00076598
ASA$SUPER.:E05LS                        0025 33e3 0017983 00975007
ASA$TERMINAL.:E05LS                     0026 038e 0006594 00358272
ASA$TIE_PROJECT.:E05LS                  0027 66e2 0000830 00037299
ASA$UNTIE_PROJECT.:E05LS                0028 8cfc 0000854 00038522
ASA$USER.:E05LS                         0029 c594 0002346 00112717
ASB$BUILD_DEFAULT_FILES.:E05LS          0030 9692 0009899 00559352
ASB$EXT.:E05LS                          0031 861b 0012663 00592897
ASB$FILES.:E05LS                        0032 20f6 0008652 00414123
ASB$FIND_STATION.:E05LS                 0033 ef9e 0001395 00064411
ASB$FIND_TERMINAL.:E05LS                0034 d262 0000843 00041189
ASB$GET_MGRANS.:E05LS                   0035 4de5 0000416 00019683
ASB$SEARCH.:E05LS                       0036 b6cd 0006185 00306160
ASB$SHIFT_BANNER.:E05LS                 0037 47e9 0000533 00027525
ASC$BUDGET.:E05LS                       0038 b356 0002943 00152967
ASC$CHARSET.:E05LS                      0039 3bc8 0002980 00147800
ASC$CONFIG.:E05LS                       0040 8c7c 0002367 00123564
ASC$LIMITS.:E05LS                       0041 e7f6 0005401 00301463
ASC$OPTS.:E05LS                         0042 6d81 0010789 00577611
ASC$PRIV.:E05LS                         0043 95fc 0003895 00210210
ASC$PSEUDO.:E05LS                       0044 79b4 0003774 00195807
ASC$RESOURCE.:E05LS                     0045 77da 0004011 00214858
ASC$SETUP_BANNER.:E05LS                 0046 018a 0001372 00076315
ASD$BUILD_PRO.:E05LS                    0047 8fe5 0007620 00431782
ASD$PROFILE.:E05LS                      0048 16bc 0022173 01204011
ASD$PRO_IO.:E05LS                       0049 82c3 0001748 00080744
ASF$FORM.:E05LS                         0050 5175 0017838 00989464
ASH$HELP.:E05LS                         0051 275f 0002694 00119109
ASL$DISPLAY_FORM.:E05LS                 0052 eefc 0009933 00525130
ASL$DISPLAY_TERMINAL.:E05LS             0053 6f0f 0003161 00166408
ASL$EXT.:E05LS                          0054 67e1 0017829 00957424
ASL$LIST.:E05LS                         0055 0b27 0001925 00091608
ASL$LIST_CHARSETS.:E05LS                0056 d5eb 0003745 00188785
ASL$LIST_CONSOLES.:E05LS                0057 86e7 0004574 00245144
ASL$LIST_CONTROLLERS.:E05LS             0058 d787 0004146 00212318
ASL$LIST_DEVICES.:E05LS                 0059 7e13 0011578 00608542
ASL$LIST_FORMSETS.:E05LS                0060 a12a 0002214 00110282
ASL$LIST_LINES.:E05LS                   0061 b7f1 0002960 00148097
ASL$LIST_LINE_DEVICES.:E05LS            0062 fd31 0004605 00238754
ASL$LIST_LINKS.:E05LS                   0063 4605 0003546 00177679
ASL$LIST_LINK_DEVICES.:E05LS            0064 f5fd 0004258 00216544
ASL$LIST_PROFILES.:E05LS                0065 992f 0002417 00123580
ASL$LIST_PROJECTS.:E05LS                0066 d422 0003930 00200389
ASL$LIST_STATIONS.:E05LS                0067 8c68 0003428 00172734
ASL$LIST_TERMINALS.:E05LS               0068 b569 0003158 00167852
ASL$LIST_USERS.:E05LS                   0069 87e3 0001767 00088836
ASL$LIST_VIRCIRS.:E05LS                 0070 34c5 0004983 00256173
ASL$LIST_WORKSTATIONS.:E05LS            0071 d4a9 0004325 00222241
ASL$L_PRO.:E05LS                        0072 2d93 0029543 01614848
ASP$CHARSET_NODES.:E05LS                0073 c11f 0000126 00007704
ASP$CMD_NODES.:E05LS                    0074 bb46 0000755 00046640
ASP$CONSOLE_NODES.:E05LS                0075 7507 0000118 00006634
ASP$CONTROLLER_NODES.:E05LS             0076 56e2 0000087 00004554
